0.426043 0.577670
1.860144 -0.503589
0.459013 0.441979
1.078545 -0.743552
1.743522 -0.662815
0.438315 0.471826
1.432696 -0.898175
0.467052 0.419405
0.545853 0.242823
1.617236 -0.764772
1.338544 -0.913102
1.228481 -0.799616
0.090534 1.671709
0.856226 -0.488117
0.886750 -0.477924
0.967451 -0.655962
0.707662 -0.138389
1.209963 -0.858724
1.192571 -0.785100
0.005427 1.972928
0.542453 0.208831
0.929574 -0.509298
0.234194 1.180387
1.982742 -0.226640
1.309209 -0.891376
0.692065 -0.094488
1.083876 -0.712991
0.910156 -0.563297
1.608409 -0.804951
1.723330 -0.698772
1.301971 -0.904363
0.567818 0.141139
0.662751 -0.096201
1.345509 -0.874876
0.946642 -0.596415
0.004419 1.992284
1.609108 -0.832063
1.476138 -0.825214
0.410978 0.613654
1.868698 -0.493640
1.025088 -0.644429
1.122020 -0.763455
1.449568 -0.913430
1.806500 -0.510247
1.880622 -0.428597
0.705253 -0.171833
0.799458 -0.342531
0.688890 -0.137766
0.438904 0.448333
0.033251 1.912580
